,bps,total_points,games,time,goals,xG,assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,opp_shots,opp_goals,opp_xG,opp_against_shots,opp_against_goals,opp_against_xG
1,3,1,4,52,0,0.0267488993704319,0,0.0846412032842636,1,2,0,0.0267488993704319,0.2599279023706913,0.2194729037582874,432,51,53.06513203680515,433,46,59.01182442111895
2,3,1,12,266,1,0.8572464846074581,0,0.0866743996739387,6,1,1,0.8572464846074581,0.8978355824947357,0.0,430,34,51.04135813936591,573,57,69.68157005030662
3,43,15,36,3223,1,5.092751467600465,3,2.4296507444232702,56,19,1,5.092751467600465,10.184462796896696,8.898998957127333,370,38,42.29227340361104,557,68,69.67875737557188
4,15,1,13,1057,0,0.0843219012022018,0,0.0927421972155571,1,1,0,0.0843219012022018,3.3804026413708925,3.2876606453210115,410,58,62.64052318222821,562,46,55.60994510445744
5,3,2,38,2952,8,8.266518421471119,3,3.7432961594313374,55,28,7,5.983012191951275,12.170722473412752,2.8007613457739358,575,68,83.38727551419288,390,33,44.09502522367984
11,3,1,18,489,0,0.2416350301355123,0,0.1513487976044416,7,2,0,0.2416350301355123,0.9400026239454746,0.7964588776230812,596,88,81.363066569902,342,43,46.43951691221446
12,12,1,17,1372,1,0.8552336050197482,0,0.0366367762908339,8,2,1,0.8552336050197482,4.46303728967905,4.026877721771598,410,58,62.64052318222821,562,46,55.60994510445744
13,1,1,16,940,3,2.5387633964419365,0,1.1296455087140205,30,13,3,2.5387633964419365,3.51997191645205,0.5702235978096724,602,94,87.5468477671966,294,33,35.49565150868148
15,0,0,28,2019,5,7.306276918388903,3,2.7257514875382185,47,24,5,7.306276918388903,11.955216951668262,4.128748474642634,522,70,60.43706954689696,520,63,53.026400515809655
16,4,1,18,373,1,0.6907202005386353,2,0.9013200886547564,12,12,1,0.6907202005386353,1.065209049731493,0.6448863409459591,416,31,38.416544328443706,557,58,64.12520449981093
17,0,0,4,10,0,0.0855346992611885,0,0.0,1,0,0,0.0855346992611885,0.0,0.0,610,75,85.09102913178504,371,47,58.97577587934211
18,0,0,2,67,0,0.0313891991972923,0,0.0,1,0,0,0.0313891991972923,0.3856349885463714,0.3856349885463714,431,55,51.374790051952,506,53,76.09509134711698
20,0,0,15,1350,0,0.0,1,0.1888159960508346,0,1,0,0.0,2.5362304002046585,2.347414404153824,594,58,75.74508742708713,480,43,51.70642548147589
21,11,1,25,2081,1,0.5782807385548949,0,0.2267771176993847,17,6,1,0.5782807385548949,3.626173667609692,3.482117474079132,610,75,85.09102913178504,371,47,58.97577587934211
22,3,1,12,275,0,0.2444907762110233,0,0.136385791003704,6,3,0,0.2444907762110233,1.3482624273747206,1.1162777580320835,475,42,52.75659039057791,501,55,56.92689578980208
25,4,1,8,309,0,0.3093165084719658,0,0.3554232940077781,6,5,0,0.3093165084719658,0.5467102974653244,0.1954354979097843,370,38,42.29227340361104,557,68,69.67875737557188
26,0,0,17,1064,0,0.0825991313904523,0,0.5999135356396437,3,4,0,0.0825991313904523,3.165864273905754,2.783756129443645,410,58,62.64052318222821,562,46,55.60994510445744
31,0,0,9,338,1,1.493293778039515,0,0.7890531122684479,7,5,1,1.493293778039515,2.451194860972464,0.5513057112693787,431,55,51.374790051952,506,53,76.09509134711698
32,19,3,28,2083,5,4.998198181390762,7,7.464956499636173,41,50,5,4.998198181390762,18.557112345471975,8.295533634722233,475,42,52.75659039057791,501,55,56.92689578980208
35,2,1,25,808,3,3.433256816118956,0,0.3606983013451099,12,6,2,2.672087784856558,3.6325308196246624,1.0803029127418995,370,38,42.29227340361104,557,68,69.67875737557188
37,21,2,24,888,0,0.5861904192715883,0,0.6650882922112942,5,7,0,0.5861904192715883,3.378464750945568,2.797117682173848,464,48,51.998012396506965,529,78,71.88791078515351
39,0,0,18,1545,0,1.5610232884064317,0,0.2667285501956939,11,1,0,1.5610232884064317,4.783836133778095,4.113892234861851,431,55,51.374790051952,506,53,76.09509134711698
40,57,13,24,2022,14,16.17901684064418,1,2.334498234093189,93,15,10,10.089664130471649,11.802805667743089,2.575260256417096,610,75,85.09102913178504,371,47,58.97577587934211
41,17,2,28,2094,1,4.86724331881851,8,4.558254588395357,38,36,1,4.86724331881851,16.041057281196117,10.682778850197792,617,72,84.13641863968223,394,53,56.97241372987628
42,6,3,35,2634,3,7.266156509518623,6,7.388796498999,58,40,3,7.266156509518623,17.781154207885265,5.481370575726032,370,38,42.29227340361104,557,68,69.67875737557188
